omitted from tool	omitted from tool	omitted from tool	omitted from tool	omitted from tool	omitted from tool	omitted from tool	omitted from tool	omitted from tool	Manual enter from File Directory	"Dropdown with Graded Level, processor manually enters name"		TBD			yes/no					checkbox tracking if found data has been received	Drop down or Checkbox with specific descriptions of data	"dated entries, manually entered with category selectable as a note type"	Dropdown	Dropdown	Dropdown		"Info pulled up when County/Town selected, dropdown selection"	"Info pulled up when County/Town selected, manually entered"	"Info pulled up when County/Town selected, manually entered"										"Info pulled up when County/Town selected, manually entered"		"needs to be merged with data from column A, will be dropdown"	dropdown with options	Dropdown with options				"Info pulled up when County/Town selected, drop down of types of depts that run GIS"	"Info pulled up when County/Town selected, manually entered"	"dated entries, manually entered with category selectable as a note type"	"Info pulled up when County/Town selected, manually entered"	"Info pulled up when County/Town selected, manually entered"	"Info pulled up when County/Town selected, manually entered"	"Info pulled up when County/Town selected, manually entered"	"Info pulled up when County/Town selected, manually entered"	"Info pulled up when County/Town selected, manually entered"	"Info pulled up when County/Town selected, manually entered"	"Info pulled up when County/Town selected, manually entered"	"dated entries, manually entered with category selectable as a note type"	"Info pulled up when County/Town selected, manually entered"	"dated entries, manually entered with category selectable as a note type"	manually entered	"dated entries, manually entered with category selectable as a note type"	dropdown with options	Manually entered	"dated entries, manually entered with category selectable as a note type"	"dated entries, manually entered with category selectable as a note type"	"dated entries, manually entered with category selectable as a note type"	"dated entries, manually entered with category selectable as a note type"	omitted from tool	omitted from tool	manually entered field		omitted from tool	omitted from tool	"dated entries, manually entered with category selectable as a note type"	"dated entries, manually entered with category selectable as a note type"	omitted from tool	omitted from tool	omitted from tool
Availabilty	Cloud	Dropbox	Flash Drive	Wendy Downloads	Allison Downloads	John has and uploaded	Carla has and uploaded	Steve has and uploaded	Parcel Shapefile File Name	Processed	Online Tax Card	Parcel Identification in Attributes	Parcel ID notes	Online Parcel Card Notes	SITUS	SITUS/Address Field Notes	WTG US Tree Complete	WTG US Tree QC	US Tree QC Notes	WTG Received	Specific Attribute Status	Attribute Notes	State	County	Town	Counties that Flood	METRO / MICRO	FIPS ST	FIPS CNTY	MLS Participation	Associaton Participation	Population 2017	Square Mileage	Population Density	Home Listing Data Spring 2017 Source 1	Source 1	Home Listing Data Spring 2017 Source 2	Source 2	# Parcels Available-2017	Parcel #	Availability	Type of GIS File	How Files Sent	County GIS Viewer	Town GIS Viewer	County GIS Viewer Notes	County Office/Department	County Contact URL	County Contact URL Notes	County Contact Name or Post	County Phone Number	County Phone Ext.	County Fax	County Contact Email 	County Office Address	County Shapefile Download Page URL	County Taxroll Download Page URL	County Download Page Notes	Town Download Page URL	Town Download Page Notes	County Cost	County Cost Notes	Payment Method 	Make Payment To	Allison's Data Gathering Notes	Allison's Data Gathering Notes 2	Allison's Data Gathering Notes 3	Allison's Data Gathering Notes 4	Direct Dropbox Download URL 1 (Maryland)	Direct Dropbox Download URL 2 (Maryland)	Vendor Cost	Attributes Vendor	Data Resource	Resource Notes	Update Policy Notes	Parcel Notes	General Notes 	WG Review Notes	JJ Review Notes
																							Alabama	Autauga				1	1			55265		#DIV/0!	630	https://www.zillow.com/autauga-county-al/	393	http://www.homes.com/for-sale/autauga-county-al/						http://www.alabamagis.com/mapserver14/mobileviewer/index_zoom.html?baselayers=osm.bing&map=Library://AUTAUGA/5_MAPS/AUTAUGA_MAP.MapDefinition&extent=																																			
																							Alabama	Autauga	Autaugaville																																																						
																							Alabama	Autauga	Billingsley																																																						
																							Alabama	Autauga	Evergreen																																																						
																							Alabama	Autauga	Prattville																																																						
																							Alabama	Baldwin				1	3			190675		#DIV/0!	6347	https://www.zillow.com/baldwin-county-al/	4960	http://www.homes.com/for-sale/baldwin-county-al/						http://isv.kcsgis.com/al.baldwin_revenue/																																			
																							Alabama	Baldwin	Bay Minette																																																						
																							Alabama	Baldwin	Daphne																																																						
																							Alabama	Baldwin	Elberta																																																						
